protein,condition,sample,cell,edge_margin_um,min_track_length,velocity_percentile,threshold_um_s,fast_fraction,fast_percent,n_links
Syx,control,1,3,0.3,5,90,19.552412134189183,0.16965066117799646,16.965066117799648,35467
Syx,500uM_H2O2_30min,2,1,0.3,5,90,19.552412134189183,0.01388482899736919,1.3884828997369192,6842
Syx,Ox_500uM_H2O2,2,1,0.3,5,90,19.552412134189183,0.013214171720395787,1.3214171720395786,15665
Syx,control,2,1,0.3,5,90,19.552412134189183,0.015467534124250542,1.5467534124250542,31356
Syx,500uM_H2O2_30min,2,2,0.3,5,90,19.552412134189183,0.021284271284271284,2.1284271284271283,5544
Syx,Ox_500uM_H2O2,2,2,0.3,5,90,19.552412134189183,0.014095449500554939,1.409544950055494,9010
Syx,control,2,2,0.3,5,90,19.552412134189183,0.02595692654942161,2.595692654942161,10633
Syx,500uM_H2O2_30min,2,3,0.3,5,90,19.552412134189183,0.03142706933816228,3.142706933816228,17119
Syx,Ox_500uM_H2O2,2,3,0.3,5,90,19.552412134189183,0.02777594510787095,2.777594510787095,15157
Syx,control,2,3,0.3,5,90,19.552412134189183,0.03136850783182193,3.136850783182193,24260
Syx,500uM_H2O2_30min,3,1,0.3,5,90,19.552412134189183,0.09538128775289494,9.538128775289493,37911
Syx,Ox_500uM_H2O2,3,1,0.3,5,90,19.552412134189183,0.07878317087227804,7.8783170872278045,39907
Syx,control,3,1,0.3,5,90,19.552412134189183,0.07986745113951443,7.986745113951443,14787
Syx,500uM_H2O2_30min,3,2,0.3,5,90,19.552412134189183,0.02431011826544021,2.431011826544021,7610
Syx,Ox_500uM_H2O2,3,2,0.3,5,90,19.552412134189183,0.02211991915562542,2.211991915562542,8906
Syx,control,3,2,0.3,5,90,19.552412134189183,0.06347239829434136,6.347239829434136,34708
Syx,500uM_H2O2_30min,3,3,0.3,5,90,19.552412134189183,0.08525603864734299,8.525603864734299,25875
Syx,Ox_500uM_H2O2,3,3,0.3,5,90,19.552412134189183,0.08819875776397515,8.819875776397515,8855
Syx,control,3,3,0.3,5,90,19.552412134189183,0.09947353837628152,9.947353837628151,18045
Syx,500uM_H2O2_30min,1,1,0.3,5,95,28.23155674874703,0.07586912065439673,7.586912065439673,9780
Syx,Ox_500uM_H2O2,1,1,0.3,5,95,28.23155674874703,0.06850192061459667,6.850192061459667,3124
Syx,control,1,1,0.3,5,95,28.23155674874703,0.07060810810810811,7.0608108108108105,5920
Syx,500uM_H2O2_30min,1,2,0.3,5,95,28.23155674874703,0.1118583064974427,11.18583064974427,21116
Syx,Ox_500uM_H2O2,1,2,0.3,5,95,28.23155674874703,0.08992487847989394,8.992487847989395,22630
Syx,control,1,2,0.3,5,95,28.23155674874703,0.09685067455571642,9.685067455571641,47661
Syx,500uM_H2O2_30min,1,3,0.3,5,95,28.23155674874703,0.09267290057370015,9.267290057370015,44274
Syx,Ox_500uM_H2O2,1,3,0.3,5,95,28.23155674874703,0.08291708291708291,8.291708291708291,12012
Syx,control,1,3,0.3,5,95,28.23155674874703,0.09467956128231877,9.467956128231878,35467
Syx,500uM_H2O2_30min,2,1,0.3,5,95,28.23155674874703,0.0,0.0,6842
Syx,Ox_500uM_H2O2,2,1,0.3,5,95,28.23155674874703,0.0,0.0,15665
Syx,control,2,1,0.3,5,95,28.23155674874703,0.0,0.0,31356
Syx,500uM_H2O2_30min,2,2,0.3,5,95,28.23155674874703,0.0,0.0,5544
Syx,Ox_500uM_H2O2,2,2,0.3,5,95,28.23155674874703,0.0,0.0,9010
Syx,control,2,2,0.3,5,95,28.23155674874703,0.0,0.0,10633
Syx,500uM_H2O2_30min,2,3,0.3,5,95,28.23155674874703,0.0,0.0,17119
Syx,Ox_500uM_H2O2,2,3,0.3,5,95,28.23155674874703,0.0,0.0,15157
Syx,control,2,3,0.3,5,95,28.23155674874703,0.0,0.0,24260
Syx,500uM_H2O2_30min,3,1,0.3,5,95,28.23155674874703,0.052174830524122286,5.217483052412229,37911
Syx,Ox_500uM_H2O2,3,1,0.3,5,95,28.23155674874703,0.04164682887713935,4.164682887713935,39907
Syx,control,3,1,0.3,5,95,28.23155674874703,0.04368702238452695,4.368702238452695,14787
Syx,500uM_H2O2_30min,3,2,0.3,5,95,28.23155674874703,0.0,0.0,7610
Syx,Ox_500uM_H2O2,3,2,0.3,5,95,28.23155674874703,0.0,0.0,8906
Syx,control,3,2,0.3,5,95,28.23155674874703,0.034602973377895585,3.4602973377895587,34708
Syx,500uM_H2O2_30min,3,3,0.3,5,95,28.23155674874703,0.041468599033816424,4.1468599033816425,25875
Syx,Ox_500uM_H2O2,3,3,0.3,5,95,28.23155674874703,0.05251270468661773,5.251270468661772,8855
Syx,control,3,3,0.3,5,95,28.23155674874703,0.05004156275976725,5.004156275976725,18045
Syx,500uM_H2O2_30min,1,1,0.3,5,99,44.05220706907267,0.012883435582822086,1.2883435582822087,9780
Syx,Ox_500uM_H2O2,1,1,0.3,5,99,44.05220706907267,0.016965428937259924,1.6965428937259923,3124
Syx,control,1,1,0.3,5,99,44.05220706907267,0.014527027027027028,1.4527027027027029,5920
Syx,500uM_H2O2_30min,1,2,0.3,5,99,44.05220706907267,0.02448380375071036,2.4483803750710362,21116
Syx,Ox_500uM_H2O2,1,2,0.3,5,99,44.05220706907267,0.018205921343349536,1.8205921343349536,22630
Syx,control,1,2,0.3,5,99,44.05220706907267,0.018400788904974718,1.8400788904974719,47661
Syx,500uM_H2O2_30min,1,3,0.3,5,99,44.05220706907267,0.019740705605999005,1.9740705605999005,44274
Syx,Ox_500uM_H2O2,1,3,0.3,5,99,44.05220706907267,0.016983016983016984,1.6983016983016983,12012
Syx,control,1,3,0.3,5,99,44.05220706907267,0.01841148109510249,1.8411481095102489,35467
